Size,Function,Time (ms)
128,Dot,4.467e-04
128,Mean,3.523e-03
128,Sum,1.386e-03
128,Max,1.383e-03
128,Min,1.328e-03
128,ReLU,6.483e-04
128,Exp,9.525e-04
128,Softmax,4.561e-03
128,Add,3.258e-04
128,Sub,3.175e-04
128,Mul,3.192e-04
128,Div,2.192e-03
1000,Dot,4.892e-04
1000,Mean,3.671e-03
1000,Sum,1.538e-03
1000,Max,1.398e-03
1000,Min,1.402e-03
1000,ReLU,1.069e-03
1000,Exp,2.532e-03
1000,Softmax,6.780e-03
1000,Add,4.492e-04
1000,Sub,6.608e-04
1000,Mul,4.775e-04
1000,Div,3.147e-03
20000,Dot,1.274e-03
20000,Mean,7.035e-03
20000,Sum,4.858e-03
20000,Max,2.145e-03
20000,Min,2.152e-03
20000,ReLU,7.884e-03
20000,Exp,3.748e-02
20000,Softmax,4.976e-02
20000,Add,3.004e-03
20000,Sub,2.981e-03
20000,Mul,2.970e-03
20000,Div,1.947e-02